e2e_success_rate,failure_mode_counts,grounder,grounder_success_rate,mean_grounder_distance_m,n,policy_success_rate,prompt_variant,run,run_timestamp,skip_policy,source_file,tier
0.9833333333333334,{},llm,1.0,0.0,20,1.0,few-shot,llm_few-shot_T0-T1-T2-T3,2026-05-23T00:07:07.158419+00:00,False,results\t0123_llm_fewshot_joseph_5_22.json,T0
0.9333333333333332,{},llm,1.0,0.0,20,0.9666666666666666,few-shot,llm_few-shot_T0-T1-T2-T3,2026-05-23T00:07:07.158419+00:00,False,results\t0123_llm_fewshot_joseph_5_22.json,T1
0.7666666666666666,"{""out_of_workspace"": 8}",llm,0.45,0.033735650324342115,20,0.95,few-shot,llm_few-shot_T0-T1-T2-T3,2026-05-23T00:07:07.158419+00:00,False,results\t0123_llm_fewshot_joseph_5_22.json,T2
0.7333333333333333,{},llm,1.0,0.059999999999999984,20,0.9666666666666666,few-shot,llm_few-shot_T0-T1-T2-T3,2026-05-23T00:07:07.158419+00:00,False,results\t0123_llm_fewshot_joseph_5_22.json,T3
